ID:999 Nombre:IA_Model Prioridad:9 Estado:3 Fecha:30/05/2025 Tiempo:0
[TICK 2010] running=0 | ready=43 | finished=7
[TICK 2015] running=0 | ready=43 | finished=7
ID:844 Nombre:Contenedor Prioridad:9 Estado:3 Fecha:20/06/2025 Tiempo:0
[TICK 2020] running=0 | ready=42 | finished=8
[TICK 2025] running=0 | ready=42 | finished=8
[TICK 2030] running=0 | ready=42 | finished=8
[TICK 2035] running=0 | ready=42 | finished=8
[TICK 2040] running=0 | ready=42 | finished=8
[TICK 2045] running=0 | ready=42 | finished=8
[TICK 2050] running=0 | ready=42 | finished=8
[TICK 2055] running=0 | ready=42 | finished=8
[TICK 2060] running=0 | ready=42 | finished=8
[TICK 2065] running=0 | ready=42 | finished=8
[TICK 2070] running=0 | ready=42 | finished=8
[TICK 2075] running=0 | ready=42 | finished=8
[TICK 2080] running=0 | ready=42 | finished=8
[TICK 2085] running=0 | ready=42 | finished=8
[TICK 2090] running=0 | ready=42 | finished=8
[TICK 2095] running=0 | ready=42 | finished=8
[TICK 2100] running=0 | ready=42 | finished=8
[TICK 2105] running=0 | ready=42 | finished=8
[TICK 2110] running=0 | ready=42 | finished=8
[TICK 2115] running=0 | ready=42 | finished=8
[TICK 2120] running=0 | ready=42 | finished=8
[TICK 2125] running=0 | ready=42 | finished=8
[TICK 2130] running=0 | ready=42 | finished=8
[TICK 2135] running=0 | ready=42 | finished=8
[TICK 2140] running=0 | ready=42 | finished=8
[TICK 2145] running=0 | ready=42 | finished=8
[TICK 2150] running=0 | ready=42 | finished=8
[TICK 2155] running=0 | ready=42 | finished=8
[TICK 2160] running=0 | ready=42 | finished=8
[TICK 2165] running=0 | ready=42 | finished=8
[TICK 2170] running=0 | ready=42 | finished=8
[TICK 2175] running=0 | ready=42 | finished=8
[TICK 2180] running=0 | ready=42 | finished=8
[TICK 2185] running=0 | ready=42 | finished=8
[TICK 2190] running=0 | ready=42 | finished=8
[TICK 2195] running=0 | ready=42 | finished=8
[TICK 2200] running=0 | ready=42 | finished=8
[TICK 2205] running=0 | ready=42 | finished=8
ID:577 Nombre:Streamer Prioridad:8 Estado:3 Fecha:26/05/2025 Tiempo:0
[TICK 2210] running=0 | ready=41 | finished=9
[TICK 2215] running=0 | ready=41 | finished=9
